State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Latitude,Longitude,Number_of_death
Punjab,Unknown,2018,December,Sunday,12:31,Minor,2,Two-Wheeler,4,4,Hazy,State Highway,Wet,Dawn,Signs,99,60,Female,Expired,No,Bridge,32.04423658,89.90284219,6
Meghalaya,Unknown,2022,April,Thursday,16:29,Minor,5,Car,7,2,Clear,State Highway,Under Construction,Dawn,Signs,61,26,Female,Expired,No,Intersection,24.02699625,71.70369103,9
Arunachal Pradesh,Unknown,2022,October,Saturday,20:53,Serious,1,Cycle,1,4,Foggy,State Highway,Dry,Dark,Police Checkpost,75,46,Female,Valid,Yes,Curve,26.33576262,91.95596128,5
Rajasthan,Jaipur,2023,November,Saturday,09:17,Minor,4,Car,1,0,Stormy,Village Road,Under Construction,Dusk,Signs,89,23,Male,None,Yes,Bridge,29.30762344,90.67881454,8
Himachal Pradesh,Unknown,2019,August,Tuesday,10:55,Serious,4,Cycle,5,3,Stormy,State Highway,Dry,Dusk,Signals,65,49,Female,Expired,Yes,Intersection,21.45793937,88.55359623,7
Jharkhand,Unknown,2023,January,Saturday,12:32,Fatal,1,Bus,9,5,Foggy,State Highway,Under Construction,Dawn,Signals,106,38,Female,None,Yes,Straight Road,10.34684778,69.04865104,7
Jammu and Kashmir,Unknown,2021,July,Friday,15:19,Fatal,5,Cycle,2,2,Rainy,Village Road,Dry,Dark,Signals,93,43,Male,Expired,Yes,Intersection,22.50187663,76.79072232,9
Puducherry,Unknown,2023,June,Wednesday,14:23,Minor,1,Truck,1,1,Rainy,Village Road,Wet,Dusk,None,75,62,Male,Valid,No,Bridge,23.84471019,75.63026453,9
Karnataka,Mysore,2019,July,Wednesday,17:40,Minor,3,Cycle,7,0,Clear,National Highway,Wet,Dusk,Signs,47,61,Female,None,No,Bridge,28.1268658,78.44395582,9
Bihar,Unknown,2018,December,Friday,01:19,Serious,5,Pedestrian,10,4,Hazy,Urban Road,Dry,Dark,None,79,52,Male,None,No,Intersection,19.65480775,70.54163966,5
Goa,Unknown,2022,September,Monday,14:06,Fatal,1,Pedestrian,8,0,Clear,Village Road,Dry,Dusk,Signals,84,32,Female,Valid,No,Curve,11.44466818,95.17177687,5
Telangana,Unknown,2023,March,Sunday,14:30,Minor,2,Bus,0,0,Clear,Urban Road,Damaged,Dusk,Signs,108,45,Male,Valid,No,Bridge,15.66194946,84.06026498,1
Uttar Pradesh,Lucknow,2023,November,Wednesday,11:56,Serious,4,Truck,1,0,Clear,Urban Road,Wet,Daylight,None,66,49,Male,None,Yes,Straight Road,17.803222,76.86020501,8
Chandigarh,Unknown,2020,August,Friday,14:56,Minor,1,Truck,7,5,Clear,Urban Road,Dry,Dark,Signals,94,31,Male,Expired,Yes,Intersection,25.43976552,79.512464,8
Jharkhand,Unknown,2020,February,Tuesday,22:38,Fatal,5,Pedestrian,4,1,Hazy,National Highway,Under Construction,Daylight,Police Checkpost,110,57,Male,None,No,Curve,23.41101423,80.96887367,5
Manipur,Unknown,2022,February,Thursday,08:02,Fatal,4,Car,10,3,Rainy,National Highway,Dry,Dawn,None,104,67,Male,Valid,Yes,Intersection,17.6146116,85.41723567,4
Uttarakhand,Unknown,2021,August,Tuesday,04:25,Serious,5,Two-Wheeler,8,3,Stormy,Village Road,Wet,Dusk,Police Checkpost,116,67,Male,Expired,No,Straight Road,34.63591172,82.9547034,2
Himachal Pradesh,Unknown,2023,July,Monday,21:28,Minor,3,Cycle,1,4,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,35,51,Female,Expired,Yes,Straight Road,24.35592012,94.66236722,6
Arunachal Pradesh,Unknown,2021,December,Thursday,17:05,Serious,1,Auto-Rickshaw,9,2,Hazy,Village Road,Under Construction,Daylight,Police Checkpost,61,32,Male,Expired,Yes,Straight Road,14.40512338,82.411941,3
Jharkhand,Unknown,2019,July,Wednesday,13:12,Fatal,4,Pedestrian,3,0,Clear,National Highway,Under Construction,Dark,Signals,62,63,Female,Expired,Yes,Curve,10.74812676,96.77258243,9
Madhya Pradesh,Unknown,2023,April,Wednesday,20:45,Serious,1,Truck,9,1,Rainy,Village Road,Wet,Dusk,Police Checkpost,90,19,Male,Valid,No,Intersection,12.12719676,92.69132377,6
Punjab,Unknown,2022,July,Tuesday,13:50,Minor,3,Auto-Rickshaw,5,5,Rainy,Village Road,Dry,Dusk,Signs,73,51,Female,Valid,No,Curve,14.64085867,74.04680492,7
Chhattisgarh,Unknown,2023,November,Wednesday,21:56,Fatal,2,Bus,3,5,Stormy,National Highway,Dry,Daylight,Signs,75,26,Male,Expired,No,Curve,12.33839708,94.98726122,5
Madhya Pradesh,Unknown,2022,February,Sunday,15:38,Serious,4,Bus,10,4,Hazy,National Highway,Damaged,Dawn,Signs,120,35,Male,Expired,No,Intersection,13.03730965,71.37462554,6
Puducherry,Unknown,2021,July,Saturday,11:17,Fatal,2,Truck,8,0,Foggy,Village Road,Wet,Dusk,None,69,38,Female,None,No,Straight Road,15.69756955,91.70604155,6
Sikkim,Unknown,2021,February,Wednesday,19:49,Minor,4,Auto-Rickshaw,6,4,Hazy,Village Road,Damaged,Daylight,None,51,68,Female,None,No,Intersection,12.68108707,79.03807551,1
Chandigarh,Unknown,2020,June,Thursday,09:33,Minor,2,Two-Wheeler,1,3,Hazy,State Highway,Wet,Daylight,Signals,33,44,Female,Valid,Yes,Straight Road,32.21266646,93.46125529,5
Sikkim,Unknown,2020,August,Monday,04:33,Serious,2,Auto-Rickshaw,9,1,Clear,National Highway,Damaged,Dusk,Signs,51,25,Male,Expired,No,Curve,10.16631113,93.17364401,1
Haryana,Unknown,2022,November,Friday,17:15,Serious,2,Cycle,2,4,Rainy,State Highway,Dry,Daylight,Signals,56,22,Male,Expired,Yes,Bridge,22.16180752,91.3718366,7
Himachal Pradesh,Unknown,2021,June,Thursday,20:32,Minor,2,Auto-Rickshaw,1,0,Rainy,Village Road,Under Construction,Dusk,Signs,54,19,Female,None,Yes,Bridge,19.08071433,90.91088265,3
Uttar Pradesh,Lucknow,2023,May,Tuesday,05:18,Serious,3,Pedestrian,0,2,Clear,State Highway,Wet,Dark,Signals,89,27,Male,Expired,No,Bridge,34.52422266,76.83569503,4
Assam,Unknown,2018,November,Friday,09:58,Serious,1,Car,8,0,Foggy,State Highway,Under Construction,Dusk,None,102,61,Female,Valid,Yes,Intersection,11.02505036,70.34665921,8
Odisha,Unknown,2020,March,Wednesday,11:36,Minor,1,Pedestrian,1,2,Clear,Village Road,Dry,Dawn,Signals,110,25,Female,Expired,Yes,Straight Road,18.74210117,79.68642518,4
Puducherry,Unknown,2022,April,Wednesday,03:05,Minor,5,Car,5,3,Foggy,Village Road,Wet,Dark,Police Checkpost,116,44,Male,Valid,Yes,Curve,34.1757017,73.03221093,1
Karnataka,Mangalore,2020,February,Wednesday,02:54,Serious,4,Cycle,2,2,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,60,38,Female,Valid,Yes,Bridge,31.3686924,88.15358158,7
Gujarat,Ahmedabad,2022,January,Friday,13:46,Fatal,4,Two-Wheeler,8,5,Foggy,Urban Road,Under Construction,Dark,Police Checkpost,100,43,Male,None,Yes,Straight Road,30.06094592,78.03689207,7
Puducherry,Unknown,2022,April,Monday,15:32,Minor,4,Two-Wheeler,0,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,118,62,Male,Expired,No,Bridge,14.96337633,96.29269582,3
Sikkim,Unknown,2020,March,Monday,06:39,Minor,3,Pedestrian,4,1,Stormy,State Highway,Wet,Daylight,Signals,43,25,Male,None,No,Straight Road,12.61396486,86.58819024,8
Tamil Nadu,Coimbatore,2021,August,Sunday,16:25,Fatal,2,Cycle,1,1,Clear,National Highway,Dry,Dawn,Police Checkpost,40,68,Male,None,No,Curve,26.05336694,91.85193635,1
Chandigarh,Unknown,2021,January,Tuesday,23:08,Serious,5,Auto-Rickshaw,5,3,Stormy,National Highway,Damaged,Dusk,Police Checkpost,62,36,Male,Valid,No,Intersection,33.09315171,71.84321551,7
Nagaland,Unknown,2021,August,Friday,08:52,Minor,2,Bus,0,3,Rainy,Urban Road,Wet,Dark,Signs,32,43,Female,Valid,Yes,Bridge,23.03259811,92.99841999,1
Uttarakhand,Unknown,2021,September,Tuesday,20:38,Minor,3,Car,10,1,Stormy,Urban Road,Damaged,Dark,None,111,28,Female,Valid,Yes,Curve,23.43354262,94.75995852,2
Chandigarh,Unknown,2022,May,Friday,21:29,Minor,1,Pedestrian,8,4,Hazy,Urban Road,Dry,Daylight,Signs,51,30,Male,None,No,Bridge,15.55943553,82.12479565,9
Jammu and Kashmir,Unknown,2021,January,Friday,23:27,Serious,1,Auto-Rickshaw,1,4,Foggy,National Highway,Dry,Dawn,Signals,40,42,Female,None,No,Bridge,28.7763092,85.58133519,2
Andhra Pradesh,Tirupati,2022,May,Monday,06:51,Fatal,1,Cycle,0,2,Hazy,Village Road,Dry,Dusk,Signals,84,27,Male,None,No,Straight Road,13.05018121,90.17948423,5
Madhya Pradesh,Unknown,2022,April,Monday,14:43,Serious,2,Car,1,1,Clear,Village Road,Damaged,Dawn,Police Checkpost,49,49,Male,Valid,Yes,Bridge,16.73933938,73.07032019,4
Chandigarh,Unknown,2018,June,Monday,02:57,Serious,3,Bus,5,5,Stormy,State Highway,Dry,Dark,None,60,56,Female,Expired,No,Bridge,19.48678384,82.57441622,5
Uttar Pradesh,Varanasi,2020,February,Wednesday,23:57,Fatal,3,Truck,3,5,Foggy,Village Road,Damaged,Dawn,Signs,70,25,Female,Valid,Yes,Straight Road,21.70548022,79.56122781,4
West Bengal,Durgapur,2021,September,Monday,14:41,Fatal,2,Pedestrian,3,5,Stormy,National Highway,Dry,Dusk,Police Checkpost,41,61,Male,Expired,Yes,Straight Road,14.54506278,72.24484577,2
Chhattisgarh,Unknown,2023,May,Monday,03:14,Serious,2,Car,3,0,Clear,State Highway,Damaged,Daylight,Police Checkpost,47,34,Female,None,Yes,Intersection,11.10059427,78.65849825,7
West Bengal,Siliguri,2021,January,Tuesday,04:32,Fatal,1,Car,10,3,Rainy,Village Road,Under Construction,Daylight,Police Checkpost,106,34,Male,Valid,Yes,Straight Road,24.48674115,69.97699697,3
Delhi,Rohini,2021,January,Wednesday,01:38,Fatal,4,Cycle,8,3,Stormy,State Highway,Under Construction,Dark,Signals,77,67,Male,Valid,No,Intersection,15.79302494,68.7485453,1
Gujarat,Ahmedabad,2019,June,Sunday,18:24,Serious,3,Truck,10,3,Rainy,National Highway,Under Construction,Daylight,None,66,47,Female,None,No,Straight Road,23.69343198,71.91982239,7
Goa,Unknown,2022,January,Thursday,10:48,Serious,2,Bus,1,2,Rainy,Urban Road,Under Construction,Dusk,Police Checkpost,90,19,Male,Valid,No,Bridge,12.16779331,95.93033824,5
Goa,Unknown,2018,December,Monday,04:38,Minor,2,Truck,1,0,Hazy,Urban Road,Under Construction,Daylight,Signals,67,70,Female,Valid,No,Intersection,20.99078275,83.93635654,1
Assam,Unknown,2019,November,Wednesday,13:02,Serious,4,Cycle,5,3,Hazy,National Highway,Dry,Dusk,Police Checkpost,65,18,Male,Valid,No,Bridge,22.37991468,96.00884267,2
Punjab,Unknown,2022,May,Wednesday,09:03,Fatal,2,Bus,6,3,Foggy,National Highway,Dry,Daylight,Signs,53,44,Female,None,Yes,Bridge,9.399235494,80.54243847,2
Odisha,Unknown,2020,September,Tuesday,03:54,Minor,3,Pedestrian,0,4,Hazy,Urban Road,Wet,Dusk,Signs,69,29,Female,Valid,Yes,Curve,17.08831551,77.04266786,7
Uttarakhand,Unknown,2023,August,Friday,02:55,Fatal,1,Cycle,8,5,Foggy,Urban Road,Under Construction,Dawn,Signs,84,69,Male,Valid,No,Intersection,11.62919628,82.67811402,6
Madhya Pradesh,Unknown,2022,November,Thursday,14:12,Serious,2,Bus,1,0,Rainy,State Highway,Under Construction,Dawn,None,41,28,Female,Valid,Yes,Curve,9.711124203,80.74583897,4
Karnataka,Mysore,2023,June,Sunday,16:49,Minor,2,Truck,8,0,Stormy,Village Road,Dry,Dusk,Police Checkpost,48,67,Female,Valid,No,Straight Road,34.72892627,71.06427584,1
Telangana,Unknown,2019,July,Saturday,15:48,Serious,3,Two-Wheeler,7,3,Stormy,National Highway,Damaged,Daylight,None,109,68,Male,Valid,No,Bridge,16.70355381,86.58396313,8
Bihar,Unknown,2022,May,Tuesday,01:45,Minor,4,Car,1,5,Stormy,Village Road,Dry,Dark,Signals,72,40,Female,Valid,Yes,Straight Road,29.86661004,74.26510729,8
Chhattisgarh,Unknown,2022,July,Monday,16:40,Serious,2,Truck,4,2,Hazy,National Highway,Wet,Daylight,None,94,68,Female,Valid,No,Curve,14.87529768,85.96805069,8
Rajasthan,Jodhpur,2020,September,Tuesday,04:30,Serious,1,Cycle,0,2,Stormy,Village Road,Dry,Dawn,Signals,50,32,Female,Expired,No,Intersection,26.4005735,86.85583168,2
Goa,Unknown,2020,October,Saturday,03:32,Fatal,2,Bus,9,4,Rainy,Village Road,Dry,Daylight,Police Checkpost,35,18,Male,Expired,No,Curve,28.52615222,72.40872074,9
Jharkhand,Unknown,2018,October,Tuesday,16:43,Serious,1,Two-Wheeler,8,4,Clear,Urban Road,Damaged,Dawn,None,39,58,Male,Valid,Yes,Intersection,24.082246,69.77913919,3
Puducherry,Unknown,2018,November,Friday,05:23,Fatal,5,Truck,9,2,Stormy,State Highway,Under Construction,Daylight,Police Checkpost,106,47,Male,None,Yes,Curve,20.73255709,90.642086,4
Kerala,Unknown,2023,June,Monday,18:51,Minor,5,Auto-Rickshaw,5,1,Clear,Village Road,Under Construction,Dawn,Signals,113,53,Female,Valid,Yes,Bridge,19.11970468,81.33421229,9
Bihar,Unknown,2020,March,Friday,11:04,Serious,2,Auto-Rickshaw,3,2,Hazy,National Highway,Damaged,Daylight,None,64,43,Male,Valid,Yes,Intersection,17.4194432,69.68675007,9
Odisha,Unknown,2019,October,Tuesday,09:19,Serious,4,Auto-Rickshaw,7,4,Foggy,National Highway,Damaged,Daylight,None,108,31,Female,Valid,No,Intersection,33.09728689,96.8511232,8
Nagaland,Unknown,2018,December,Monday,08:53,Fatal,1,Auto-Rickshaw,10,4,Hazy,Village Road,Dry,Daylight,Police Checkpost,94,70,Male,Expired,No,Straight Road,30.42672401,69.67563627,9
Andhra Pradesh,Tirupati,2021,April,Thursday,20:35,Minor,5,Two-Wheeler,6,4,Clear,State Highway,Wet,Dusk,None,115,48,Female,Valid,Yes,Intersection,34.05572659,88.15602164,8
Nagaland,Unknown,2023,March,Friday,02:21,Fatal,3,Car,2,4,Hazy,National Highway,Under Construction,Daylight,Signs,31,27,Male,None,Yes,Straight Road,11.35602503,96.52668883,9
Tamil Nadu,Coimbatore,2022,March,Wednesday,06:32,Serious,1,Auto-Rickshaw,2,3,Hazy,National Highway,Wet,Dusk,Signals,80,48,Female,None,Yes,Straight Road,27.73342183,74.93622302,8
Chhattisgarh,Unknown,2018,March,Tuesday,06:07,Fatal,2,Auto-Rickshaw,10,0,Stormy,Village Road,Under Construction,Dawn,None,96,28,Female,None,No,Straight Road,33.33519233,72.12523169,6
Tripura,Unknown,2019,March,Wednesday,07:27,Minor,2,Two-Wheeler,4,0,Rainy,Urban Road,Wet,Daylight,None,71,20,Male,None,Yes,Intersection,12.89329279,71.52016324,2
Maharashtra,Pune,2019,June,Friday,08:34,Serious,2,Cycle,3,1,Rainy,Urban Road,Wet,Daylight,Signs,91,47,Female,Expired,Yes,Curve,9.795399219,76.79497928,9
Karnataka,Mangalore,2020,February,Monday,10:07,Serious,3,Bus,2,0,Foggy,National Highway,Wet,Dusk,None,55,37,Female,Expired,Yes,Bridge,28.01025753,70.93032852,1
Andhra Pradesh,Vijayawada,2021,May,Thursday,20:27,Minor,3,Auto-Rickshaw,5,4,Foggy,National Highway,Wet,Dusk,Signs,85,29,Female,Expired,Yes,Intersection,23.51077406,88.07267891,5
Bihar,Unknown,2020,January,Wednesday,05:22,Minor,2,Bus,7,0,Clear,Urban Road,Under Construction,Daylight,Signs,62,70,Male,Expired,No,Intersection,30.72937697,69.80646215,8
Chandigarh,Unknown,2022,May,Thursday,05:22,Minor,1,Auto-Rickshaw,3,3,Rainy,Urban Road,Under Construction,Daylight,Signs,83,70,Male,Valid,No,Straight Road,11.77385417,82.77324172,2
Assam,Unknown,2018,January,Saturday,19:20,Serious,3,Two-Wheeler,9,4,Hazy,Urban Road,Under Construction,Dusk,Signals,31,43,Female,None,No,Intersection,29.47221742,96.90420876,6
Uttarakhand,Unknown,2021,June,Thursday,09:35,Minor,4,Two-Wheeler,3,0,Clear,Village Road,Damaged,Dusk,Police Checkpost,119,66,Male,Valid,Yes,Straight Road,13.44393764,91.60513782,7
Punjab,Unknown,2022,October,Sunday,10:04,Minor,3,Bus,1,0,Hazy,National Highway,Dry,Dusk,Signs,55,51,Male,Valid,No,Bridge,12.41871046,85.84136371,9
Odisha,Unknown,2020,July,Sunday,14:45,Serious,2,Two-Wheeler,3,5,Hazy,Village Road,Damaged,Dusk,Police Checkpost,67,59,Female,Valid,Yes,Intersection,12.43517654,76.881355,7
Uttarakhand,Unknown,2023,September,Tuesday,06:46,Fatal,4,Pedestrian,6,0,Rainy,Urban Road,Damaged,Daylight,Signs,105,45,Female,None,Yes,Straight Road,29.99351745,86.09297925,3
Rajasthan,Jaipur,2019,June,Friday,12:25,Minor,5,Car,7,0,Rainy,National Highway,Dry,Dusk,Signals,99,21,Male,Valid,No,Curve,25.96032496,83.28420245,3
Gujarat,Surat,2022,March,Monday,15:39,Fatal,3,Cycle,9,3,Rainy,Village Road,Under Construction,Dusk,Police Checkpost,48,45,Female,Expired,No,Straight Road,22.12276647,80.35641813,3
Karnataka,Mysore,2021,August,Thursday,16:45,Fatal,5,Two-Wheeler,6,4,Foggy,State Highway,Dry,Daylight,None,96,27,Male,None,No,Intersection,17.68842307,71.79060093,7
Sikkim,Unknown,2021,November,Monday,11:33,Fatal,5,Pedestrian,5,1,Rainy,Urban Road,Dry,Daylight,None,103,51,Female,Valid,No,Intersection,31.6844146,93.71152224,9
Jharkhand,Unknown,2019,March,Friday,17:16,Serious,2,Pedestrian,9,3,Stormy,Village Road,Under Construction,Daylight,None,55,36,Female,Expired,No,Straight Road,18.5960179,81.04375482,8
Mizoram,Unknown,2020,April,Friday,17:47,Fatal,5,Bus,8,3,Foggy,National Highway,Damaged,Dusk,None,68,57,Female,Valid,No,Straight Road,30.04818487,73.64405284,2
Chhattisgarh,Unknown,2018,September,Monday,13:50,Serious,3,Pedestrian,1,0,Foggy,National Highway,Damaged,Dark,Signals,66,33,Male,Valid,No,Curve,19.85664253,78.66502118,9
Madhya Pradesh,Unknown,2021,November,Monday,08:11,Fatal,2,Bus,7,1,Clear,Village Road,Wet,Dawn,Signs,70,69,Male,None,No,Bridge,18.17749959,80.00976282,6
West Bengal,Kolkata,2021,December,Saturday,11:11,Serious,5,Two-Wheeler,3,3,Foggy,National Highway,Damaged,Daylight,Signals,102,53,Female,Valid,No,Bridge,20.49235421,91.99859897,8
Himachal Pradesh,Unknown,2021,November,Wednesday,01:57,Minor,1,Two-Wheeler,1,3,Stormy,Urban Road,Damaged,Dark,None,107,62,Female,Expired,Yes,Straight Road,16.1372026,89.27481704,9
Kerala,Unknown,2021,December,Monday,00:51,Fatal,1,Two-Wheeler,4,4,Hazy,State Highway,Under Construction,Daylight,None,87,53,Female,None,No,Intersection,28.18545326,90.30984192,4
Bihar,Unknown,2021,May,Wednesday,05:02,Fatal,2,Car,9,2,Foggy,Urban Road,Under Construction,Dawn,Signs,90,39,Female,None,No,Intersection,21.57345053,68.31990667,6
Chandigarh,Unknown,2021,December,Sunday,15:44,Serious,2,Two-Wheeler,1,0,Foggy,State Highway,Dry,Dawn,Signs,58,35,Male,None,No,Curve,14.26974277,80.06846595,6
Tripura,Unknown,2020,March,Thursday,13:11,Serious,5,Auto-Rickshaw,6,5,Clear,State Highway,Wet,Dark,None,95,47,Female,None,No,Curve,32.28851348,81.9589804,4
Kerala,Unknown,2020,March,Wednesday,05:10,Fatal,5,Car,5,5,Clear,Village Road,Wet,Dusk,None,58,35,Female,None,Yes,Curve,18.36506298,68.55657603,5
Madhya Pradesh,Unknown,2023,April,Monday,08:20,Serious,2,Cycle,10,1,Foggy,Urban Road,Under Construction,Dusk,None,98,44,Female,None,No,Bridge,22.67592725,75.53458305,4
Delhi,New Delhi,2022,April,Monday,16:22,Fatal,3,Cycle,2,2,Stormy,National Highway,Dry,Dark,Signals,80,20,Male,Valid,Yes,Curve,32.474747,90.04840487,9
Himachal Pradesh,Unknown,2021,March,Tuesday,20:13,Minor,1,Truck,9,3,Rainy,Village Road,Damaged,Dark,Police Checkpost,96,28,Male,Valid,Yes,Straight Road,24.85442589,71.97618147,1
Nagaland,Unknown,2023,December,Monday,11:07,Fatal,4,Two-Wheeler,4,4,Rainy,State Highway,Wet,Dark,Signals,39,27,Male,Expired,Yes,Curve,11.1562471,83.52399381,1
West Bengal,Siliguri,2018,April,Tuesday,04:23,Minor,4,Pedestrian,0,5,Foggy,National Highway,Damaged,Dark,None,51,54,Female,Valid,Yes,Bridge,33.37546734,74.24085429,4
Tripura,Unknown,2020,January,Wednesday,11:42,Serious,3,Bus,2,5,Rainy,Village Road,Dry,Dusk,Signals,46,43,Male,Expired,No,Straight Road,24.94811743,68.35150246,5
Mizoram,Unknown,2019,October,Tuesday,00:06,Fatal,1,Truck,3,0,Clear,National Highway,Dry,Dusk,Signs,75,56,Male,Valid,No,Intersection,17.0424516,74.99484227,2
Meghalaya,Unknown,2020,January,Wednesday,04:39,Fatal,4,Two-Wheeler,8,0,Clear,Urban Road,Dry,Dusk,None,68,59,Male,Expired,No,Bridge,11.76034596,96.30033889,9
Mizoram,Unknown,2018,February,Thursday,01:52,Minor,5,Car,9,5,Rainy,State Highway,Damaged,Dawn,Signs,107,48,Male,None,No,Straight Road,29.43868011,91.24457624,9
Mizoram,Unknown,2022,September,Tuesday,01:27,Serious,5,Two-Wheeler,1,0,Stormy,Village Road,Under Construction,Daylight,Signs,80,57,Male,Valid,Yes,Curve,24.74196441,95.82772269,4
Sikkim,Unknown,2022,April,Saturday,22:16,Minor,4,Bus,9,4,Foggy,Urban Road,Under Construction,Daylight,None,115,22,Male,Expired,No,Intersection,22.40344948,82.14776727,7
Punjab,Unknown,2021,March,Sunday,17:57,Serious,2,Truck,2,0,Hazy,State Highway,Damaged,Dusk,None,44,54,Male,None,No,Curve,32.13509974,71.18234976,6
Jharkhand,Unknown,2018,February,Saturday,06:48,Minor,1,Truck,5,0,Hazy,National Highway,Wet,Dusk,Signals,67,25,Male,Valid,Yes,Straight Road,29.2921247,83.89082518,3
Chandigarh,Unknown,2019,May,Tuesday,21:59,Serious,1,Truck,5,5,Clear,Village Road,Under Construction,Daylight,Signals,97,55,Female,Valid,Yes,Curve,12.09522175,81.1769427,2
Puducherry,Unknown,2019,December,Sunday,16:18,Serious,5,Bus,6,5,Hazy,Urban Road,Dry,Dawn,Signs,79,65,Female,None,Yes,Curve,16.41649583,92.4863554,5
West Bengal,Kolkata,2020,October,Thursday,03:43,Minor,3,Car,10,4,Hazy,State Highway,Dry,Dark,None,63,27,Female,Expired,No,Straight Road,14.70920677,70.84439484,9
Punjab,Unknown,2022,January,Tuesday,07:41,Fatal,5,Two-Wheeler,9,2,Foggy,Urban Road,Dry,Dark,Signals,84,39,Male,Valid,Yes,Bridge,28.0865499,82.15899297,5
Odisha,Unknown,2022,April,Thursday,03:40,Serious,3,Bus,1,3,Foggy,National Highway,Dry,Dusk,Signs,43,65,Male,Valid,No,Intersection,8.905375738,72.35141128,6
Telangana,Unknown,2023,July,Tuesday,16:57,Fatal,2,Car,9,4,Hazy,State Highway,Dry,Dusk,Police Checkpost,39,27,Female,Expired,Yes,Bridge,23.38702149,77.41560188,7
Himachal Pradesh,Unknown,2020,January,Wednesday,08:47,Fatal,3,Cycle,4,4,Clear,Village Road,Dry,Dark,Signals,35,62,Male,Valid,No,Bridge,28.58638451,89.38335524,9
Punjab,Unknown,2019,October,Monday,22:10,Minor,4,Truck,2,3,Rainy,State Highway,Damaged,Daylight,None,32,24,Female,Expired,Yes,Curve,31.67267219,81.80452575,8
Arunachal Pradesh,Unknown,2018,June,Saturday,09:44,Minor,4,Truck,9,1,Hazy,Village Road,Wet,Dusk,Signals,95,18,Female,Expired,No,Intersection,17.23620722,78.90076027,5
Mizoram,Unknown,2019,September,Thursday,11:47,Minor,3,Two-Wheeler,4,2,Stormy,National Highway,Wet,Dark,Police Checkpost,82,54,Male,Valid,No,Straight Road,30.17394723,79.43981208,1
Telangana,Unknown,2018,January,Tuesday,23:21,Minor,5,Cycle,6,5,Stormy,Urban Road,Wet,Dusk,Signs,101,25,Male,None,Yes,Bridge,10.9870569,81.32395628,5
Jammu and Kashmir,Unknown,2023,April,Sunday,23:55,Serious,2,Pedestrian,8,5,Foggy,Urban Road,Dry,Daylight,Police Checkpost,51,40,Female,None,No,Intersection,30.85421188,90.76547977,8
Assam,Unknown,2021,February,Friday,05:46,Serious,1,Two-Wheeler,0,3,Stormy,National Highway,Wet,Dusk,None,88,67,Male,Expired,Yes,Bridge,11.44219388,93.87045598,4
Chhattisgarh,Unknown,2022,February,Monday,20:21,Serious,1,Two-Wheeler,8,0,Stormy,National Highway,Wet,Dark,Police Checkpost,107,67,Female,None,Yes,Straight Road,18.72675685,95.70470591,7
Gujarat,Vadodara,2021,April,Wednesday,05:56,Serious,5,Bus,7,3,Rainy,Village Road,Wet,Dark,Police Checkpost,33,43,Female,Expired,Yes,Straight Road,29.52697488,90.8201982,6
Chandigarh,Unknown,2021,January,Monday,08:34,Minor,4,Two-Wheeler,4,2,Stormy,Village Road,Under Construction,Dusk,Signals,120,33,Female,None,No,Curve,12.04777054,77.14679998,5
Karnataka,Mysore,2021,February,Monday,08:00,Minor,2,Car,7,0,Stormy,Village Road,Wet,Dusk,Signals,72,22,Male,Valid,No,Bridge,14.18978767,87.95590648,9
Gujarat,Vadodara,2018,January,Thursday,23:43,Fatal,2,Bus,4,3,Hazy,Urban Road,Damaged,Dawn,Signals,92,63,Male,Valid,No,Intersection,27.50081935,80.6904906,5
Haryana,Unknown,2020,December,Tuesday,08:14,Serious,1,Auto-Rickshaw,8,4,Stormy,Urban Road,Wet,Daylight,None,63,31,Male,None,No,Straight Road,27.44098649,75.38544804,2
Delhi,Dwarka,2021,May,Friday,18:55,Serious,3,Truck,8,2,Hazy,Village Road,Under Construction,Dusk,Signs,66,22,Female,Valid,No,Intersection,25.31098609,92.3852758,5
Madhya Pradesh,Unknown,2021,December,Thursday,15:01,Fatal,1,Auto-Rickshaw,9,3,Rainy,Urban Road,Under Construction,Dusk,Signals,69,30,Male,None,No,Curve,26.736608,69.11436412,6
Goa,Unknown,2021,December,Thursday,15:07,Minor,4,Pedestrian,5,3,Stormy,Village Road,Wet,Dark,Signs,59,64,Male,None,No,Straight Road,22.65355997,94.15109777,2
Manipur,Unknown,2019,January,Thursday,02:34,Serious,5,Pedestrian,6,0,Foggy,Village Road,Dry,Daylight,Signals,30,59,Male,Expired,No,Straight Road,14.79857459,81.38284647,4
Jharkhand,Unknown,2018,June,Wednesday,14:45,Minor,4,Auto-Rickshaw,8,1,Clear,State Highway,Damaged,Daylight,None,35,42,Female,Valid,No,Bridge,17.33379182,86.47884283,5
